,DJI,HSI,OMX20,STI,FTSE,
04/01/2000,-0.032171526,-0.017235554,-0.024308516,-0.020649696,-0.038889695,
05/01/2000,0.011276414,-0.074525186,-0.023212184,-0.056554354,-0.01968892,
06/01/2000,0.01167441,-0.044748828,0.010031306,-0.013397418,-0.013657925,
07/01/2000,0.023648462,0.016519316,0.009256739,0.019655425,0.008880547,
10/01/2000,0.004298771,0.028319747,0.019039952,0.011422273,0.01570447,
11/01/2000,-0.005295282,0.000879842,0.004897779,-0.009902257,-0.013525363,
12/01/2000,0.003470562,-0.009367854,-0.014529803,0.007384379,0.002129978,
13/01/2000,0.002709262,-0.005119291,0.008735391,-0.013787372,-0.000211263,
14/01/2000,0.012060795,-0.005884636,-0.00062422,-0.000747882,0.019215672,
17/01/2000,0,0.002077979,0.005875618,-0.021329039,0.001692723,
18/01/2000,-0.013937572,0.013687348,-0.01761298,-0.009554302,-0.025029278,
19/01/2000,-0.006191469,-0.033086399,-0.001897159,-0.028375721,-0.009135163,
20/01/2000,-0.012089792,-0.003937606,0.007684918,0.026546281,-0.015119663,
21/01/2000,-0.008811374,-0.007050615,0.009727969,-0.016130049,-0.000381251,
24/01/2000,-0.021882932,0.003906735,0.016464927,-0.006092748,0.005263207,
25/01/2000,0.001970888,-0.004262229,-0.020321348,-0.011462398,-0.0167067,
26/01/2000,0.000281239,0.021269843,0.003195264,0.009190142,0.016048156,
27/01/2000,-0.00045002,0.031272717,-0.004562212,0.020249442,0.010205603,
28/01/2000,-0.026569408,0.016704356,0.004289844,-0.009066356,-0.010204035,
31/01/2000,0.018604389,-0.041218662,-0.024223796,-0.024199498,-0.016942681,
01/02/2000,0.009145889,0.00779323,0.00723,4.93E-05,0.003571822,
02/02/2000,-0.003434011,0.008647897,0.017694022,0.018219923,0.001889825,
03/02/2000,0.000930261,0.011228806,0.02329262,-0.009763987,0.003405361,
04/02/2000,-0.004517356,0,0.003602788,0.004250002,-0.022280328,
07/02/2000,-0.005305881,0,0.004080096,0,-0.010783923,
08/02/2000,0.004739774,0.016188894,0.018823382,-0.005820591,0.026954862,
09/02/2000,-0.023867845,0.035753421,-0.007427247,-0.008262736,0.004697966,
10/02/2000,-0.005203796,0.001527419,-0.008083876,-0.000907331,-0.005652953,
11/02/2000,-0.020734061,0.031273412,0.006965016,0.004313695,-0.013868433,
14/02/2000,0.009035388,-0.011070064,-0.002989762,0.000554676,-0.02034006,
15/02/2000,0.018669973,-0.029567831,-0.005178442,-0.0165937,-0.010505471,
16/02/2000,-0.014725891,0.021062959,0.030967731,0.00587533,0.023403468,
17/02/2000,-0.004445328,-0.003653829,0.004803153,0.007982268,0.01001894,
18/02/2000,-0.028462004,-0.022756525,0.013198417,-0.023910873,-0.007160032,
21/02/2000,0,-0.016815532,-0.00628899,-0.028656511,-0.013617029,
22/02/2000,0.008314097,-0.004125548,-0.008762457,-0.004371856,-0.011059647,
23/02/2000,-0.007707117,0.007454077,0.010851193,0.014645717,0.021280811,
24/02/2000,-0.013100978,0.040792904,-0.005808831,-0.006584761,-0.009386209,
25/02/2000,-0.023104867,0.008308366,-0.000325715,0.007847003,0.018120596,
28/02/2000,0.017741768,-0.012668728,-0.028527734,-0.010213634,-0.015996906,
29/02/2000,0.008891709,0.010833429,-0.004479291,0.000872817,0.02155741,
